,wikidata,type,osmid
1013,Q16507345,,
1014,Q17517948,,
1016,Q16507293,,
1017,Q16507365,,
1021,Q16506781,,
1022,Q16506981,,
1025,Q16506945,,
1029,Q17517741,,
1030,Q16506916,,
1031,Q16506800,,
1036,Q17517843,,
1039,Q17517784,,
1040,Q17517933,,
1042,Q17517809,,
1043,Q16507107,,
1044,Q16506798,,
1051,Q16896762,,
1053,Q16507091,,
1054,Q16507169,,
1055,Q16506735,,
1056,Q16507101,,
1057,Q16507318,,
1058,Q16506820,,
1063,Q16506865,,
1064,Q17517709,,
1065,Q16507201,,
1066,Q16507336,,
1067,Q16507286,,
1068,Q16507285,,
1069,Q16507175,,
1072,Q16506789,,
1074,Q16506980,,
1079,Q16506906,,
1080,Q16506949,,
1082,Q16506891,,
1083,Q17517766,,
1084,Q16507385,,
1085,Q16507322,,
1087,Q17463761,,
1091,Q16507182,,
1093,Q16879460,,
1094,Q16507366,,
1095,Q17518021,,
1099,Q16506438,,
1102,Q16505691,,
1103,Q16506122,,
1104,Q16506308,,
1105,Q16506544,,
1108,Q16505750,,
1109,Q16505994,,
1111,Q16505916,,
1113,Q16506488,,
1114,Q16506677,,
1115,Q16505332,,
1116,Q16505633,,
1122,Q16506114,,
1124,Q16505399,,
1129,Q16505502,,
1131,Q16506297,,
1135,Q16505900,,
1136,Q16505613,,
1137,Q16506280,,
1138,Q16506248,,
1141,Q16506175,,
1142,Q16506177,,
1143,Q16505418,,
1144,Q16506050,,
1146,Q16506181,,
1150,Q16506223,,
1152,Q16506550,,
1153,Q16505765,,
1154,Q16505936,,
1160,Q16506276,,
1163,Q16505348,,
1165,Q16506172,,
1166,Q16506558,,
1168,Q16505422,,
1169,Q16505401,,
1170,Q16506703,,
1172,Q16506674,,
1173,Q16505339,,
1178,Q16505951,,
1179,Q16506301,,
1180,Q16505343,,
1183,Q16506602,,
1184,Q16505416,,
1187,Q16506288,,
1193,Q16505390,,
1195,Q16505542,,
1196,Q16506368,,
1197,Q17519726,,
1198,Q17519354,,
1199,Q17518939,,
1200,Q17519392,,
1201,Q17519779,,
1202,Q17519933,,
1203,Q17519403,,
1204,Q17519341,,
1207,Q17519653,,
1208,Q17519243,,
1209,Q17519621,,
1210,Q17519257,,
1215,Q17519619,,
1217,Q17519418,,
1218,Q17519685,,
1219,Q17519339,,
1220,Q17519372,,
1221,Q17519366,,
1222,Q17519412,,
1223,Q17519410,,
1225,Q17519323,,
1226,Q17519406,,
1228,Q17519304,,
1229,Q17518949,,
1230,Q17519379,,
1231,Q17519285,,
1235,Q17519399,,
1236,Q17518934,,
1237,Q17519879,,
1238,Q17519330,,
1239,Q17519853,,
1240,Q17519419,,
1242,Q17519363,,
1243,Q17519064,,
1244,Q17519617,,
1245,Q17519345,,
1247,Q17519369,,
1248,Q17519951,,
1250,Q17519869,,
1251,Q17519793,,
1252,Q17519282,,
1253,Q17519314,,
1254,Q17518943,,
1256,Q17519347,,
1257,Q17519707,,
1258,Q17519071,,
1259,Q17519338,,
1260,Q17519871,,
1261,Q17519921,,
1262,Q17519017,,
1263,Q17519307,,
1264,Q17519420,,
1265,Q17519790,,
1266,Q17518033,,
1268,Q17519081,,
1270,Q17519637,,
1275,Q17519393,,
1276,Q17519191,,
1277,Q17519749,,
1278,Q17519310,,
1281,Q17519380,,
1284,Q17519287,,
1285,Q17519652,,
1286,Q17519286,,
1287,Q17519795,,
1288,Q17519288,,
1289,Q17519697,,
1291,Q17519710,,
1292,Q17519940,,
1293,Q17519191,,
1294,Q17518751,,
1295,Q17519732,,
1296,Q17518763,,
1297,Q17520240,,
1298,Q17520387,,
1299,Q17520754,,
1300,Q17520417,,
1301,Q17520518,,
1302,Q17520330,,
1304,Q17522408,,
1306,Q17520066,,
1307,Q17520167,,
1308,Q17522541,,
1310,Q17520381,,
1311,Q17522558,,
1312,Q17520205,,
