,wikidata,type,osmid
1067,Q6801306,,
1068,Q6806299,,
1070,Q6818318,,
1081,Q1223616,,
1085,Q1484465,,
1090,Q1698809,,
1094,Q1912032,,
1104,Q4938194,,
1108,Q5503155,,
1109,Q10718963,,
1115,Q11874373,,
1118,Q12018596,,
1120,Q19296801,,
1122,Q19309325,,
1124,Q19963785,,
1126,Q22679092,,
1127,Q25453861,,
1129,Q25587089,,
1130,Q25587094,,
1131,Q25587664,,
1132,Q26869531,,
1133,Q27058168,,
1134,Q27640660,,
1135,Q28004532,,
1136,Q28223197,,
1137,Q28223201,,
1138,Q28449137,,
1139,Q28726190,,
1140,Q28738235,,
1141,Q28946806,,
1142,Q29025042,,
1143,Q29026418,,
1144,Q29026651,,
1145,Q29374965,,
1146,Q31839360,,
1147,Q37319993,,
1149,Q37881204,,
1150,Q37923037,,
1152,Q42901626,,
1153,Q59818902,,
1154,Q62063216,,
1156,Q65718593,,
1159,Q95981348,,
1160,Q98566220,,
1164,Q106890051,,
1166,Q116620494,,
1167,Q117322298,,
1168,Q260581,,
1170,Q324332,,
1173,Q423604,,
1174,Q505639,,
1185,Q2159616,,
1189,Q3494679,,
1191,Q6051066,,
1192,Q6332383,,
1193,Q6361523,,
1194,Q6434899,,
1195,Q6587851,,
1196,Q6672448,,
1197,Q6745873,,
1198,Q6757752,,
1199,Q6773401,,
1200,Q6775937,,
1201,Q6793686,,
1202,Q6805299,,
1203,Q6816030,,
1204,Q6818060,,
1207,Q6842980,,
1209,Q6867934,,
1210,Q6912079,,
1211,Q6921718,,
1212,Q6970363,,
1213,Q6973092,,
1214,Q6977476,,
1215,Q6978935,,
1216,Q6981882,,
1217,Q6987407,,
1219,Q7007712,,
1222,Q7028626,,
1223,Q7033007,,
1224,Q7050646,,
1225,Q7062730,,
1229,Q10412404,,
1230,Q11246061,,
1232,Q12077276,,
1233,Q12408364,,
1234,Q12601292,,
1235,Q12603527,,
1237,Q14686872,,
1239,Q16130142,,
1240,Q16903104,,
1241,Q23013729,,
1243,Q25247461,,
1244,Q28872449,,
1245,Q39392175,,
1248,Q52742452,,
1249,Q52742884,,
1250,Q52746808,,
1252,Q52751564,,
1254,Q52988400,,
1255,Q67200890,,
1256,Q99298745,,
1257,Q118902890,,
1260,Q6423591,,
1264,Q6485448,,
1266,Q6537868,,
1267,Q6666806,,
1272,Q6705670,,
1274,Q6705746,,
1275,Q6705747,,
1276,Q6705744,,
1277,Q6705748,,
1278,Q6728560,,
1279,Q6734075,,
1280,Q6734177,,
1282,Q6741690,,
1283,Q6753462,,
1284,Q6780273,,
1285,Q6784908,,
1286,Q6784909,,
1287,Q6800587,,
1289,Q6815874,,
1291,Q6823846,,
1295,Q6906273,,
1297,Q6912576,,
