,wikidata,type,osmid
4168,Q3273876,,
4173,Q3273954,,
4185,Q3274186,,
4189,Q3274093,,
4197,Q3267349,,
4203,Q3273882,,
4206,Q3274124,,
4213,Q3274107,,
4218,Q3274088,,
4221,Q3274117,,
4224,Q3273382,,
4226,Q3273903,,
4232,Q3273988,,
4234,Q3271633,,
4239,Q4731453,,
4241,Q4737343,,
4255,Q4705925,,
4267,Q4740961,,
4269,Q4720925,,
4270,Q4720722,,
4271,Q4694464,,
4293,Q2645354,,
4295,Q2618912,,
4296,Q2581049,,
4300,Q2649112,,
4303,Q2632133,,
4304,Q2636796,,
4308,Q2630505,,
4310,Q2628568,,
4312,Q2635747,,
4318,Q2558410,,
4319,Q2592871,,
4329,Q3913167,,
4333,Q3913287,,
4338,Q3913365,,
4339,Q3913181,,
4340,Q3913242,,
4342,Q3913209,,
4345,Q3913267,,
4350,Q3913133,,
4351,Q3913440,,
4352,Q3913189,,
4353,Q3913201,,
4356,Q3913172,,
4360,Q3913193,,
4364,Q3913195,,
4366,Q3913206,,
4367,Q3913489,,
4369,Q3913446,,
4372,Q3913478,,
4374,Q3913438,,
4375,Q3913251,,
4376,Q3913124,,
4382,Q3913136,,
4384,Q3913483,,
4386,Q3913176,,
4387,Q3913374,,
4388,Q3913159,,
4394,Q3913468,,
4395,Q3913237,,
4398,Q3913230,,
4399,Q3913486,,
4403,Q3913256,,
4404,Q3913416,,
4405,Q3913233,,
4409,Q3913449,,
4412,Q3913408,,
4413,Q3913150,,
4414,Q3913260,,
4416,Q3913404,,
4417,Q3913145,,
4418,Q3913436,,
4420,Q3913427,,
4421,Q3913178,,
4423,Q3913430,,
4424,Q3913253,,
4425,Q3913139,,
4427,Q3913473,,
4428,Q3913247,,
4435,Q4741169,,
4448,Q4734443,,
4450,Q4740961,,
4462,Q4737322,,
4466,Q4726560,,
4467,Q4701514,,
4469,Q4699591,,
4474,Q4680944,,
4476,Q4701579,,
4487,Q4686984,,
4491,Q4700481,,
4492,Q2627988,,
4495,Q2631115,,
4516,Q2584350,,
4520,Q2630866,,
4528,Q2636796,,
4531,Q1584145,,
4534,Q1654022,,
4547,Q1626999,,
4552,Q1529264,,
4557,Q1529222,,
4572,Q1528870,,
4580,Q1654022,,
4587,Q1579716,,
4602,Q1529259,,
4604,Q1595036,,
4606,Q1567208,,
4609,Q1529169,,
4611,Q1579716,,
4613,Q1579838,,
4617,Q1580022,,
4623,Q3084663,,
4624,Q3084641,,
4628,Q3085806,,
4632,Q3100416,,
4636,Q3085079,,
4646,Q3085086,,
4653,Q3016934,,
4664,Q3084623,,
4666,Q3084726,,
4669,Q3086463,,
4671,Q3086051,,
4673,Q3016916,,
4674,Q3017215,,
4680,Q3084613,,
4690,Q3017824,,
4693,Q3016927,,
4705,Q3017130,,
4710,Q3085079,,
4712,Q3084555,,
4717,Q3913536,,
4720,Q3913508,,
4723,Q3913529,,
4726,Q3913739,,
4728,Q3913495,,
4729,Q3913600,,
4731,Q3913656,,
4738,Q3913668,,
4739,Q3913685,,
4742,Q3913714,,
4744,Q3913737,,
4746,Q3913708,,
4747,Q3913706,,
4749,Q3913500,,
4750,Q3913682,,
4751,Q3913554,,
4752,Q3913630,,
4758,Q3913663,,
4761,Q3913592,,
4762,Q3913547,,
4764,Q3913674,,
4765,Q3913514,,
4766,Q3913533,,
4767,Q3913580,,
4770,Q3913634,,
4772,Q3913565,,
4774,Q3913601,,
4775,Q3913584,,
4779,Q3913726,,
4782,Q3913748,,
4783,Q3913610,,
4787,Q3913755,,
4788,Q3913718,,
4790,Q3913520,,
4795,Q3913606,,
4797,Q3913556,,
4803,Q3913723,,
4807,Q3913703,,
4808,Q3913590,,
4810,Q3913608,,
4813,Q3913492,,
4815,Q3888212,,
4817,Q3887348,,
4821,Q3888192,,
4826,Q3887642,,
4831,Q2732053,,
4839,Q2670961,,
4842,Q2720492,,
4843,Q2672939,,
4850,Q2726122,,
4861,Q2668613,,
4866,Q2661278,,
4894,Q2671168,,
4896,Q2719509,,
4899,Q3912669,,
4900,Q3912707,,
4901,Q3912550,,
4905,Q3912733,,
4911,Q3912675,,
4912,Q3912709,,
4913,Q3912702,,
4918,Q3912634,,
4919,Q3912696,,
4926,Q3912718,,
4935,Q3888013,,
4936,Q3888212,,
4938,Q3887295,,
4943,Q3888176,,
4946,Q3888160,,
4948,Q3887249,,
4949,Q3887387,,
4952,Q3887741,,
4954,Q3887266,,
4959,Q3887282,,
4972,Q3887160,,
4974,Q3887439,,
4975,Q3888226,,
4977,Q3887154,,
4981,Q3888207,,
4984,Q3888415,,
4986,Q3888153,,
4988,Q3887343,,
4995,Q3887249,,
4998,Q3887722,,
5007,Q3887249,,
5017,Q2671159,,
5020,Q2684487,,
5026,Q2670580,,
5029,Q3505202,,
5037,Q3503051,,
5038,Q3505202,,
5040,Q3502939,,
5043,Q3504030,,
5045,Q3497703,,
5056,Q3498883,,
5057,Q3503058,,
5059,Q3497867,,
5060,Q3500388,,
5062,Q3500380,,
5071,Q3499964,,
5073,Q3500280,,
5084,Q3502265,,
5086,Q3498937,,
5088,Q3499422,,
5093,Q3275184,,
5098,Q3275148,,
5099,Q3274828,,
5109,Q3274809,,
5113,Q3275017,,
5117,Q3275191,,
5118,Q3275017,,
5126,Q3275133,,
5131,Q3912744,,
5133,Q3912588,,
5134,Q3912712,,
5136,Q3912671,,
5137,Q3912571,,
5139,Q3912704,,
5143,Q3912653,,
5150,Q3912749,,
5152,Q3912590,,
5153,Q3912567,,
5157,Q3912722,,
5160,Q3888443,,
5164,Q3912577,,
5166,Q3912664,,
5167,Q3912666,,
5168,Q3912660,,
5170,Q3912684,,
5174,Q3912662,,
5176,Q3912682,,
5178,Q3912736,,
5179,Q3888449,,
5180,Q3912620,,
5181,Q3912643,,
5183,Q3912548,,
5184,Q3912623,,
5187,Q3912641,,
5189,Q3912565,,
5192,Q3912574,,
5204,Q3500380,,
5216,Q3504030,,
5218,Q3500296,,
5219,Q3497867,,
5221,Q3505195,,
5223,Q3500296,,
5226,Q3502842,,
5228,Q3500280,,
5229,Q3274695,,
5237,Q3274548,,
5240,Q3274579,,
5243,Q3274289,,
5245,Q3274670,,
5246,Q3274620,,
5253,Q3274704,,
5256,Q3274698,,
5258,Q3274620,,
5262,Q3274459,,
5267,Q3274648,,
5273,Q3274662,,
5274,Q3274572,,
5277,Q3274387,,
5284,Q2785149,,
5286,Q2786376,,
5291,Q2779964,,
5299,Q2787506,,
5302,Q2789070,,
5303,Q2784946,,
5306,Q2789540,,
5308,Q2786895,,
5311,Q2789479,,
5315,Q2786807,,
5329,Q2787506,,
5330,Q2744163,,
5334,Q2786936,,
5335,Q2785252,,
5340,Q2785948,,
5342,Q3274335,,
5350,Q3274612,,
5355,Q3274335,,
5359,Q3274467,,
5362,Q3274579,,
5372,Q3274453,,
5376,Q3274478,,
5377,Q3274708,,
5385,Q3274799,,
5390,Q3275101,,
5396,Q3274974,,
5398,Q3275285,,
5403,Q3275043,,
5404,Q3275230,,
5407,Q3275278,,
5409,Q3275027,,
5418,Q3275228,,
5423,Q3275156,,
5427,Q3274728,,
5430,Q3275180,,
5432,Q3274727,,
5433,Q3275114,,
5436,Q3274938,,
5444,Q3274771,,
5447,Q2785855,,
5449,Q2785855,,
5454,Q2789070,,
5466,Q2786807,,
5472,Q2786376,,
5474,Q2788207,,
