,type,id,attributes.name,attributes.location.north,attributes.location.east,attributes.address,attributes.isPublished,attributes.created,attributes.changed,relationships.image.data.type,relationships.image.data.id,relationships.image.links.self,relationships.image.links.related,relationships.serviceType.data.type,relationships.serviceType.data.id,relationships.serviceType.links.self,relationships.serviceType.links.related,relationships.regions.data,links.self
43,serviceunits,13636,Lappkärrsbergets utegym,6584097,153316,"Docentbacken, Lappkärrsberget",True,2019-10-21,2022-03-24,files,28ae977a-4eaf-4625-b71c-5c38d77baee8,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13636/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13636/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13636/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13636/servicetype,"[{'type': 'regions', 'id': '14'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13636
44,serviceunits,13637,Liljeholmens utegym,6577274,151181,"Liljeholmsgränd 15, Stockholm",True,2019-10-21,2021-09-24,files,66416431-bea6-4624-8355-88807b8d0e05,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13637/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13637/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13637/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13637/servicetype,"[{'type': 'regions', 'id': '16'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13637
45,serviceunits,15208,Lilla Blecktornsparkens utegym,6577084,154785,,True,2021-10-26,2022-06-27,files,6b04ba1e-3484-4790-9779-c139101e0d44,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15208/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15208/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15208/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15208/servicetype,"[{'type': 'regions', 'id': '12'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15208
46,serviceunits,13638,Lillsjöns utegym,6580751,147326,Kvarnbacksvägen,True,2019-10-21,2022-03-11,files,b2d8dadd-5daa-4cf1-84df-52e657d58e2f,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13638/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13638/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13638/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13638/servicetype,"[{'type': 'regions', 'id': '1'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13638
47,serviceunits,15336,Linabergsstigens utegym,6582973,147234,Tappvägen,True,2022-03-11,2022-03-11,files,ac313375-9688-4902-be6f-ff95fa674acd,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15336/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15336/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15336/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15336/servicetype,"[{'type': 'regions', 'id': '1'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/15336
48,serviceunits,14746,Långbroparkens utegym,6574133,148574,I Långbro park vid Hultgränd,True,2020-06-01,2021-09-24,files,76b5888d-db7f-4ad7-aa73-ccd0bef7606e,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14746/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14746/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14746/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14746/servicetype,"[{'type': 'regions', 'id': '16'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14746
49,serviceunits,14969,Lövsta utegym,6586050,138167,Lövsta Koloniväg 1,True,2020-12-04,2022-05-10,files,4963475a-4012-4d15-8883-771eb7c3528b,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14969/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14969/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14969/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14969/servicetype,"[{'type': 'regions', 'id': '5'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14969
50,serviceunits,14992,Maltesholmsbadets utegym,6582329,141010,,True,2021-01-12,2022-05-10,files,8d2752c5-abe6-4b90-ba04-b6032a45a2c7,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14992/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14992/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14992/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14992/servicetype,"[{'type': 'regions', 'id': '5'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14992
51,serviceunits,13639,Mellanbergsparkens utegym,6575099,148938,"Personnevägen 103, Hägersten",True,2019-10-21,2021-09-24,files,1846e57f-fea9-4211-928d-c0fe4321921d,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13639/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13639/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13639/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13639/servicetype,"[{'type': 'regions', 'id': '16'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/13639
52,serviceunits,14991,Melonparkens utegym,6583601,140336,,True,2021-01-12,2022-05-10,files,9a3ae89d-7d21-41f9-ac95-893957c13970,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14991/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14991/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14991/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14991/servicetype,"[{'type': 'regions', 'id': '5'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/14991
53,serviceunits,12772,Mossens utegym,6579297,147942,,True,2019-08-28,2022-02-23,files,17fa4fdb-23ec-4229-bd1c-a5cfb2ba5ea3,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12772/relationships/image,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12772/image,servicetypes,122,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12772/relationships/servicetype,https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12772/servicetype,"[{'type': 'regions', 'id': '1'}]",https://apigw.stockholm.se/noauth/virtualhittaservicedmz/rest/serviceunits/12772
