,wikidata,type,osmid
849,Q10424502,,
850,Q10420399,,
851,Q10425212,,
852,Q10424508,,
853,Q10425278,,
855,Q10416123,,
856,Q10423741,,
857,Q10424682,,
859,Q10419845,,
861,Q10424658,,
862,Q10420509,,
863,Q10416871,,
864,Q10419822,,
868,Q10420096,,
869,Q10413024,,
870,Q10413025,,
871,Q10419805,,
873,Q10419910,,
875,Q10418519,,
876,Q10424661,,
877,Q10425213,,
878,Q10425606,,
879,Q10421190,,
880,Q10418518,,
881,Q10422700,,
882,Q10423511,,
884,Q10426064,,
886,Q10426449,,
887,Q10426660,,
890,Q10423529,,
891,Q10419915,,
893,Q10430698,,
894,Q10429649,,
895,Q10431774,,
896,Q10430928,,
898,Q10429744,,
899,Q10428996,,
900,Q10430607,,
901,Q10429381,,
902,Q10429945,,
903,Q10429824,,
904,Q10430629,,
906,Q10430688,,
908,Q10428396,,
909,Q10428998,,
910,Q10430496,,
911,Q10428336,,
912,Q10428512,,
914,Q10430563,,
915,Q10430112,,
916,Q10430906,,
918,Q10430415,,
919,Q10430745,,
921,Q10431468,,
922,Q10429748,,
925,Q10428539,,
926,Q10428330,,
928,Q10428503,,
929,Q10429755,,
930,Q10429618,,
931,Q10430519,,
932,Q10429904,,
933,Q10430995,,
934,Q10428997,,
935,Q10428577,,
936,Q10428412,,
937,Q10430477,,
938,Q10429746,,
939,Q10427716,,
940,Q10430513,,
941,Q10431810,,
942,Q10428327,,
943,Q10431221,,
944,Q10430462,,
945,Q10428335,,
946,Q10428604,,
947,Q10429756,,
948,Q10428346,,
949,Q10428538,,
950,Q10428112,,
951,Q10428609,,
952,Q10430763,,
953,Q10427531,,
954,Q10429819,,
955,Q10429452,,
956,Q10430455,,
958,Q10428057,,
959,Q10427526,,
960,Q10430618,,
961,Q10429721,,
962,Q10428352,,
963,Q10430570,,
964,Q10430757,,
965,Q10430788,,
966,Q10429630,,
969,Q10430869,,
970,Q10429738,,
971,Q10428339,,
972,Q10430558,,
973,Q10429747,,
974,Q10429750,,
975,Q10428320,,
976,Q10429731,,
977,Q10430927,,
978,Q10428525,,
979,Q10428331,,
980,Q10428480,,
981,Q10430386,,
982,Q10428588,,
