,wikidata,type,osmid
1021,Q1879342,,
1022,Q1879365,,
1024,Q1862027,,
1025,Q1887491,,
1026,Q1863906,,
1027,Q1885651,,
1028,Q1870396,,
1030,Q1867030,,
1031,Q1887946,,
1032,Q1879543,,
1033,Q1894850,,
1034,Q1889191,,
1035,Q1872368,,
1036,Q1857610,,
1038,Q1891437,,
1040,Q1873187,,
1041,Q1875679,,
1043,Q1868455,,
1044,Q1860968,,
1045,Q1879736,,
1046,Q1869121,,
1047,Q1884467,,
1049,Q1890651,,
1051,Q1892387,,
1052,Q1863901,,
1054,Q1883197,,
1055,Q1885035,,
1057,Q1865183,,
1058,Q1887657,,
1059,Q1878564,,
1060,Q1886271,,
1062,Q1870637,,
1063,Q1864250,,
1064,Q1871003,,
1067,Q1025370,,
1070,Q1025493,,
1071,Q1182804,,
1073,Q1018719,,
1075,Q1159414,,
1076,Q1025506,,
1077,Q1019193,,
1078,Q1022436,,
1081,Q1018641,,
1082,Q1019935,,
1083,Q1150413,,
1084,Q1025476,,
1087,Q1019546,,
1089,Q1021324,,
1090,Q1144285,,
1092,Q1021346,,
1093,Q1195439,,
1096,Q1019553,,
1097,Q1185262,,
1098,Q1019101,,
1101,Q1020133,,
1102,Q1021155,,
1103,Q1019575,,
1104,Q1021330,,
1105,Q1157904,,
1106,Q1021165,,
1107,Q1120927,,
1109,Q1021142,,
1110,Q1138022,,
1112,Q1020051,,
1116,Q1157822,,
1122,Q1019412,,
1123,Q1021169,,
1125,Q1168272,,
1126,Q1019316,,
1128,Q1018462,,
1129,Q1018412,,
1132,Q1182859,,
1133,Q1019584,,
1134,Q1018980,,
1135,Q1025500,,
1136,Q1158082,,
1137,Q1021161,,
1141,Q1018460,,
1142,Q1018454,,
1144,Q1192085,,
1146,Q1054072,,
1149,Q1025483,,
1150,Q1026309,,
1151,Q1019554,,
1152,Q1025513,,
1154,Q1185188,,
1155,Q1021557,,
1156,Q1028980,,
1157,Q1794825,,
1158,Q1800148,,
1159,Q1794692,,
1160,Q1795995,,
1161,Q1796222,,
1162,Q1811802,,
1163,Q1812725,,
1164,Q1796256,,
1165,Q1816134,,
1167,Q1813140,,
1168,Q1794822,,
1171,Q1794833,,
1174,Q1799944,,
1176,Q1800844,,
1177,Q1795181,,
1178,Q1794719,,
1179,Q1794696,,
1180,Q1800132,,
1181,Q1795180,,
1182,Q1807969,,
1183,Q1808262,,
1184,Q1809445,,
1185,Q1795983,,
1186,Q1796027,,
1188,Q1811327,,
1190,Q1794817,,
1191,Q1794909,,
1192,Q1794701,,
1193,Q1811248,,
1195,Q1794836,,
1196,Q1812149,,
1197,Q1794828,,
1198,Q1796057,,
1204,Q1796166,,
1207,Q1808680,,
1209,Q1796048,,
1210,Q1794751,,
1211,Q1796015,,
1212,Q1814858,,
1213,Q1795988,,
1214,Q1808176,,
1215,Q1800044,,
1217,Q1796003,,
1218,Q1803754,,
1219,Q1811695,,
1221,Q1801815,,
1228,Q1800807,,
1229,Q1800151,,
1230,Q1814865,,
1232,Q1807216,,
1233,Q1796095,,
1234,Q1801793,,
1237,Q1816009,,
1239,Q1800347,,
1241,Q1896269,,
1242,Q1919351,,
1243,Q1926456,,
1244,Q1907885,,
1245,Q1922311,,
1246,Q1924379,,
1247,Q1896398,,
1248,Q1904713,,
1249,Q1903675,,
1250,Q1929722,,
1251,Q1923233,,
1252,Q1923774,,
1254,Q1921508,,
1256,Q1919389,,
1258,Q1923989,,
1259,Q1908911,,
1260,Q1901778,,
1263,Q1915241,,
1264,Q1904696,,
1265,Q1900558,,
1266,Q1896439,,
1267,Q1909350,,
1268,Q1934597,,
1270,Q1931316,,
1272,Q1895919,,
1273,Q1900213,,
1274,Q1909868,,
1275,Q1933810,,
1276,Q1906986,,
1277,Q1921978,,
1278,Q1921432,,
1279,Q1924445,,
1280,Q1935387,,
1281,Q1904750,,
1282,Q1922044,,
1283,Q1903791,,
1287,Q1899695,,
1289,Q1928697,,
1290,Q1919085,,
1291,Q1898308,,
1292,Q1927269,,
1294,Q1907773,,
1295,Q1894860,,
1296,Q1913836,,
1297,Q1917062,,
1298,Q1917452,,
1299,Q1905528,,
1300,Q1914806,,
1301,Q1908039,,
1303,Q1910553,,
1304,Q1907649,,
1305,Q1928843,,
1306,Q1921643,,
1307,Q1934981,,
1308,Q1901879,,
1309,Q1926648,,
1310,Q1920643,,
1311,Q1924822,,
1312,Q1921643,,
1313,Q1921422,,
1315,Q1917702,,
1316,Q1923789,,
1317,Q1927754,,
1318,Q1925290,,
1319,Q1933748,,
1320,Q1913140,,
1321,Q1919515,,
1322,Q1907950,,
1323,Q1933651,,
1324,Q1935073,,
1328,Q1968940,,
1329,Q2002096,,
1330,Q2001804,,
1331,Q1993067,,
1332,Q1970660,,
1336,Q1991773,,
1337,Q1978976,,
1338,Q1991524,,
1339,Q2004613,,
1340,Q1978586,,
1341,Q1992163,,
1342,Q2005137,,
1343,Q1978948,,
1345,Q1970160,,
1346,Q1990810,,
1347,Q1979924,,
1348,Q1967644,,
1351,Q1993590,,
1352,Q2007157,,
1353,Q2007208,,
1355,Q1979916,,
1356,Q1969534,,
1357,Q1970733,,
1358,Q2008269,,
1359,Q1992918,,
1360,Q1993602,,
1362,Q1983704,,
1363,Q2004397,,
1366,Q1975941,,
1367,Q2002781,,
1368,Q1971189,,
1370,Q1984608,,
1371,Q1989135,,
1372,Q1980165,,
1373,Q1991272,,
1374,Q1977574,,
1375,Q2007662,,
1376,Q1970727,,
1377,Q2001074,,
1378,Q1993927,,
1379,Q1977096,,
1380,Q1969122,,
1381,Q1975596,,
1382,Q1968976,,
1383,Q1997566,,
1384,Q1976968,,
1385,Q1998180,,
1386,Q1993599,,
1387,Q2006139,,
1389,Q1977700,,
1390,Q1998103,,
1391,Q1989289,,
1392,Q1969336,,
1393,Q1974325,,
1394,Q2006468,,
1396,Q1970729,,
1397,Q1992794,,
1398,Q1978968,,
1399,Q2001192,,
1400,Q1979696,,
1402,Q2008784,,
1403,Q1989647,,
1406,Q2095602,,
1407,Q2107486,,
1408,Q2114259,,
1409,Q2093353,,
1410,Q2086237,,
1411,Q2105710,,
1412,Q2104311,,
1413,Q2114001,,
1414,Q2112085,,
1415,Q2091345,,
1416,Q2097740,,
1417,Q2108545,,
1418,Q2103450,,
1419,Q2096354,,
1420,Q2101993,,
1421,Q2099588,,
1422,Q2090423,,
1423,Q2114887,,
1424,Q2093957,,
1425,Q2086992,,
1426,Q2104336,,
1427,Q2089974,,
1428,Q2109387,,
1431,Q2102400,,
1432,Q2098596,,
1434,Q2103706,,
1436,Q2099523,,
1437,Q2106810,,
1438,Q2104237,,
1439,Q2094756,,
1440,Q2104608,,
1441,Q2105635,,
1444,Q2099376,,
1445,Q2114782,,
1446,Q2108359,,
1447,Q2104881,,
1448,Q2112639,,
1450,Q2093295,,
1452,Q2099284,,
1453,Q2089495,,
1454,Q2114880,,
1455,Q2113531,,
1456,Q2110120,,
1457,Q2098353,,
1458,Q2100732,,
1459,Q2092275,,
1460,Q2095935,,
1461,Q2114400,,
1462,Q2100641,,
1463,Q2092259,,
1465,Q2103821,,
1466,Q2106842,,
1467,Q2099744,,
1468,Q2089838,,
1469,Q2097343,,
1470,Q2085281,,
1471,Q2109487,,
1472,Q1998441,,
1473,Q1977677,,
1476,Q1993114,,
1477,Q1993571,,
1478,Q1968061,,
1479,Q1994003,,
1480,Q1636399,,
1481,Q1755466,,
1482,Q1792732,,
1483,Q1775445,,
